"","likelihood","prob_same","spiro_fit","slp_fit","slp","spiro"
"1",-490.733449675957,3.06776030524093e-197,4.42252261092268,3.9410905004684,3.8754,4.411
"2",-490.733449675957,3.06776030524093e-197,4.32807081739632,3.75467944155996,3.7562,4.3547
"3",-490.733449675957,3.06776030524093e-197,4.27317622831003,3.63899957524241,3.6729,4.3123
"4",-490.733449675957,3.06776030524093e-197,4.25512496533983,3.58864734542631,3.6312,4.2819
"5",-490.733449675957,3.06776030524093e-197,4.27120315016176,3.59821919602224,3.635,4.2665
"6",-490.733449675957,3.06776030524093e-197,4.31869690445185,3.66231157094076,3.6856,4.2721
"7",-490.733449675957,3.06776030524093e-197,4.39489234988618,3.77552091409248,3.7829,4.3146
"8",-490.733449675957,3.06776030524093e-197,4.49707560814075,3.93244366938794,3.925,4.4342
"9",-490.733449675957,3.06776030524093e-197,4.6225328008916,4.12767628073771,4.1087,4.5957
"10",-490.733449675957,3.06776030524093e-197,4.76855004981478,4.35581519205237,4.3299,4.7781
"11",-490.733449675957,3.06776030524093e-197,4.93241347658633,4.6114568472425,4.5835,4.9696
"12",-490.733449675957,3.06776030524093e-197,5.11140920288227,4.88919769021864,4.8635,5.1631
"13",-490.733449675957,3.06776030524093e-197,5.30282335037865,5.18363416489139,5.1639,5.3555
"14",-490.733449675957,3.06776030524093e-197,5.50394204075151,5.48936271517131,5.4778,5.5479
"15",-490.733449675957,3.06776030524093e-197,5.71205139567688,5.80097978496896,5.7986,5.7423
"16",-490.733449675957,3.06776030524093e-197,5.9244375368308,6.11308181819493,6.1194,5.9367
"17",-490.733449675957,3.06776030524093e-197,6.13838658588931,6.42026525875978,6.4336,6.132
"18",-490.733449675957,3.06776030524093e-197,6.35118466452845,6.71712655057408,6.7348,6.3303
"19",-490.733449675957,3.06776030524093e-197,6.56011789442425,6.99826213754841,7.017,6.5316
"20",-490.733449675957,3.06776030524093e-197,6.76247239725275,7.25826846359333,7.2746,6.7359
"21",-490.733449675957,3.06776030524093e-197,6.95553429469,7.49174197261942,7.5027,6.9372
"22",-490.733449675957,3.06776030524093e-197,7.13658970841202,7.69327910853724,7.6968,7.1254
"23",-490.733449675957,3.06776030524093e-197,7.30292476009486,7.85747631525737,7.8533,7.2926
"24",-490.733449675957,3.06776030524093e-197,7.45182557141455,7.97893003669038,7.9694,7.4388
"25",-490.733449675957,3.06776030524093e-197,7.58057826404712,8.05223671674683,8.0428,7.57
"26",-490.733449675957,3.06776030524093e-197,7.66863475238137,8.07505284866533,8.0725,7.6842
"27",-490.733449675957,3.06776030524093e-197,7.64994577431601,8.05686252312406,8.058,7.6953
"28",-490.733449675957,3.06776030524093e-197,7.54253613976071,7.99876735783555,7.9996,7.5494
"29",-490.733449675957,3.06776030524093e-197,7.37528014788762,7.90043429983601,7.8987,7.3565
"30",-490.733449675957,3.06776030524093e-197,7.17705209786894,7.76153029616167,7.7573,7.1626
"31",-490.733449675957,3.06776030524093e-197,6.97485847274176,7.58214328990209,7.5784,6.9737
"32",-490.733449675957,3.06776030524093e-197,6.77807730922983,7.36633458436412,7.3656,6.7867
"33",-490.733449675957,3.06776030524093e-197,6.58639373585281,7.12035021400815,7.1232,6.5967
"34",-490.733449675957,3.06776030524093e-197,6.39939243919918,6.85045885238401,6.8562,6.4117
"35",-490.733449675957,3.06776030524093e-197,6.21665810585742,6.56292917304155,6.5699,6.2287
"36",-490.733449675957,3.06776030524093e-197,6.037775422416,6.2640298495306,6.2705,6.0466
"37",-490.733449675957,3.06776030524093e-197,5.86232907546342,5.96002955540101,5.964,5.8626
"38",-490.733449675957,3.06776030524093e-197,5.68990375158816,5.65719696420261,5.6571,5.6785
"39",-490.733449675957,3.06776030524093e-197,5.5200841373787,5.36180074948526,5.3562,5.4974
"40",-490.733449675957,3.06776030524093e-197,5.35246684356517,5.0800963901906,5.068,5.3222
"41",-490.733449675957,3.06776030524093e-197,5.18787493264042,4.81698224028272,4.7988,5.1581
"42",-490.733449675957,3.06776030524093e-197,5.02940509871616,4.57484077633566,4.5545,5.0089
"43",-490.733449675957,3.06776030524093e-197,4.88040075328078,4.35578147086049,4.3407,4.8747
"44",-490.733449675957,3.06776030524093e-197,4.74420530782269,4.16191379636825,4.1618,4.7595
"45",-490.733449675957,3.06776030524093e-197,4.62416217383027,3.99534722536999,4.0219,4.6583
"46",-490.733449675957,3.06776030524093e-197,4.52361476279192,3.85819123037676,3.9028,4.57
